Electricity $/kWh,Potatoes lb,Sunflower Oil Ton,Salt PPI,CPI,Potato Chips 16oz
0.128,0.693,1462.01458333333,309.1,232.282,4.97
0.128,0.682,1439.22604166667,300.2,231.797,4.811
0.131,0.717,1466.97454710145,300.5,231.893,4.51
0.137,0.671,1472.0715625,300.1,232.445,4.507
0.137,0.734,1375.47626811594,305.5,232.9,4.688
0.137,0.788,1152.390625,305.3,233.456,4.577
0.137,0.847,1158.37529761905,303.4,233.544,4.528
0.132,0.7208813559322034,1187.12817028985,302.7,233.669,4.576
0.13,0.758,1192.39890873016,300.7,234.1,4.601
0.131,0.721,1169.175,302.0,234.719,4.536
0.134,0.727,1110.11820652174,302.7,235.288,4.411
0.134,0.72,1137.0390625,302.9,235.547,4.411
0.135,0.691,1152.08521825397,293.5,236.028,4.538
0.131,0.696,1125.09895833333,397.5,236.468,4.419
0.136,0.656,1127.28229166667,398.0,236.918,4.372
0.143,0.654,1112.05744047619,404.7,237.231,4.35
0.143,0.68,1061.82382246377,402.7,237.498,4.308
0.143,0.667,992.545932539683,307.0,237.46,4.437
0.141,0.658,983.045833333334,307.7,237.477,4.357
0.136,0.663,1044.725,327.0,237.43,4.328
0.134,0.629,1068.89177083333,329.8,236.983,4.247
0.135,0.636,1049.03233695652,335.1,236.252,4.27
0.138,0.672,1004.196875,340.6,234.747,4.263
0.138,0.664,960.516562500001,338.7,235.342,4.298
0.136,0.651,957.255208333334,339.7,235.976,4.4
0.137,0.669,1002.01354166667,339.8,236.222,4.412
0.137,0.594,1081.89365079365,337.7,237.001,4.427
0.143,0.6,1102.85625,342.1,237.657,4.442
0.142,0.617,1069.26376811594,338.4,238.034,4.48
0.142,0.623,980.251686507937,366.5,238.033,4.411
0.141,0.613,981.681250000001,372.3,237.498,4.504
0.136,0.582,1059.053125,374.7,237.733,4.355
0.134,0.563,1045.01091269841,373.9,238.017,4.49
0.133,0.547,1022.14411231884,376.8,237.761,4.413
0.134,0.58,1020.13650793651,381.3,237.652,4.444
0.134,0.59,1039.57857142858,380.0,237.336,4.421
0.134,0.584,1013.92101449276,377.8,238.08,4.622
0.134,0.594,1028.42797619048,386.7,238.992,4.544
0.133,0.6,1040.221875,385.2,239.557,4.462
0.138,0.614,1017.296875,385.2,240.222,4.477
0.139,0.626,975.105257936509,389.3,240.101,4.444
0.139,0.626,981.942300724638,389.3,240.545,4.427
0.139,0.617,989.050000000001,389.3,241.176,4.44
0.134,0.589,998.407142857144,389.8,241.741,4.507
0.131,0.565,1000.48520833333,377.9,242.026,4.391
0.133,0.559,1012.24791666667,377.9,242.637,4.353
0.134,0.596,980.862500000001,379.6,243.618,4.39
0.135,0.584,966.971041666668,375.2,244.006,4.334
0.134,0.595,936.78052536232,371.2,243.892,4.365
0.135,0.596,939.952291666668,374.1,244.193,4.369
0.137,0.61,949.833061594204,374.1,244.004,4.439
0.142,0.658,936.240625000002,374.1,244.163,4.428
0.143,0.684,951.946329365081,385.8,244.243,4.391
0.142,0.705,967.845561594204,384.0,245.183,4.37
0.142,0.699,971.817261904764,384.0,246.435,4.389
0.137,0.672,945.246875000002,384.0,246.626,4.48
0.136,0.656,948.521875000001,384.0,247.284,4.521
0.136,0.656,940.366865079367,367.0,247.805,4.431
0.135,0.64,935.475271739132,367.3,248.859,4.386
0.135,0.676,951.960625000001,367.3,249.529,4.344
0.135,0.664,946.611458333335,367.3,249.577,4.446
0.134,0.668,957.950496031747,373.0,250.227,4.448
0.136,0.727,938.999456521741,374.4,250.792,4.491
0.139,0.708,911.632638888891,372.6,251.018,4.441
0.139,0.71,932.146875000002,393.8,251.214,4.407
0.139,0.7,889.138768115944,394.7,251.663,4.446
0.138,0.703,857.545104166668,395.3,252.182,4.432
0.136,0.697,855.72427536232,405.8,252.772,4.473
0.134,0.66,818.067708333335,406.3,252.594,4.59
0.135,0.707,814.422321428572,406.6,252.767,4.447
0.135,0.713,827.53079710145,406.6,252.718,4.432
0.136,0.736,847.21951754386,400.6,253.322,4.503
0.135,0.722,840.869246031747,415.3,254.202,4.587
0.135,0.738,840.719791666667,407.5,255.211,4.508
0.136,0.765,871.517844202899,403.1,255.29,4.407
0.139,0.703,885.764687500001,400.6,255.159,4.452
0.14,0.765,913.15543478261,391.4,255.685,4.377
0.139,0.776,908.676041666668,396.7,256.059,4.382
0.139,0.765,904.055952380953,396.3,256.511,4.561
0.136,0.761,884.96195652174,393.9,257.244,4.389
0.133,0.76,912.633333333334,393.1,257.803,4.692
0.133,0.773,965.033333333334,400.5,258.616,4.532
0.134,0.797,1000.21585144928,404.3,259.037,4.494
0.134,0.808,913.684062500001,415.8,259.248,4.594
0.134,0.7208813559322034,846.996875,415.8,258.124,4.63
0.133,0.7208813559322034,878.245833333334,404.5,256.092,4.88
0.134,0.856,900.053174603176,404.5,255.868,4.985
0.137,0.882,963.941666666668,399.5,256.986,5.087
0.137,0.879,974.110778985508,404.7,258.278,5.104
0.137,0.856,1033.4314484127,397.0,259.411,5.07
0.137,0.811,1188.55208333334,395.7,260.029,5.024
0.135,0.815,1198.37708333333,395.0,260.286,5.039
0.136,0.71,1348.07837301588,395.8,260.813,5.085
0.136,0.719,1432.38532608696,395.4,262.035,5.077
0.136,0.769,1551.07638888889,395.4,262.65,4.942
0.137,0.757,1653.5475,394.4,263.638,5.046
